"id","species","total length","full weight","empty weight","sex","maturity","gonad weight","liver weight","catch"
1,"dab",185,68,62,1,"NA","NA",0.5,3
2,"dab",265,232,210,1,"NA","NA",3.5,3
3,"dab",275,230,210,1,"NA","NA",3.3,3
4,"dab",230,128,122,1,"NA","NA",1.4,3
5,"dab",275,232,218,1,"NA","NA",3.2,3
6,"dab",200,110,102,2,"NA","NA",2.3,3
7,"dab",255,184,174,1,"NA","NA",1.8,3
8,"dab",230,174,128,2,"NA","NA",2.8,3
9,"dab",220,130,118,1,"NA","NA",1.9,3
10,"dab",210,86,78,1,"NA","NA",1,3
11,"dab",355,586,544,2,"NA","NA",15.5,3
12,"dab",280,230,218,1,"NA","NA",3.1,3
13,"dab",290,248,234,1,"NA","NA",4.2,3
14,"dab",270,208,194,1,"NA","NA",2.4,3
15,"dab",225,124,114,1,"NA","NA",1.5,3
16,"dab",230,142,130,2,"NA","NA",3,3
17,"dab",210,92,86,1,"NA","NA",1,3
18,"dab",215,104,96,1,"NA","NA",1.2,3
19,"dab",220,134,124,2,"NA","NA",2.6,3
20,"dab",220,106,98,1,"NA","NA",1.3,3
21,"dab",200,80,74,1,"NA","NA",1,3
22,"dab",215,112,100,1,"NA","NA",1.7,3
23,"dab",215,90,84,1,"NA","NA",0.7,3
24,"dab",200,106,96,2,"NA","NA",2.5,3
25,"dab",225,110,102,1,"NA","NA",1.7,3
26,"dab",180,68,64,1,"NA","NA",0.7,3
27,"dab",183,70,64,1,"NA","NA",0.5,3
28,"dab",290,302,234,2,"NA","NA",3.3,3
29,"dab",220,134,122,2,"NA","NA",1.9,3
30,"dab",230,136,126,1,"NA","NA",0.7,3
31,"dab",190,84,76,1,"NA","NA",1.8,3
32,"dab",255,194,184,1,"NA","NA",1.9,3
33,"dab",250,136,132,1,"NA","NA",1.7,3
34,"dab",210,102,96,2,"NA","NA",0.6,3
35,"dab",195,72,68,1,"NA","NA",0.4,3
36,"dab",200,94,86,1,"NA","NA",0.9,3
37,"dab",185,84,78,1,"NA","NA",0.2,3
38,"dab",210,118,112,1,"NA","NA",1.9,3
39,"dab",190,76,70,1,"NA","NA",0.7,3
40,"dab",220,112,104,2,"NA","NA",1,3
41,"dab",180,62,58,1,"NA","NA",0.9,3
42,"dab",210,128,96,1,"NA","NA",1.1,3
43,"dab",215,122,112,2,"NA","NA",1,3
44,"dab",175,62,56,1,"NA","NA",0.7,3
45,"dab",80,6,6,1,"NA","NA","NA",3
46,"dab",200,80,76,2,"NA","NA","NA",3
47,"dab",155,40,34,1,"NA","NA",0.8,3
48,"dab",200,84,76,1,"NA","NA",1.2,3
49,"dab",190,74,68,1,"NA","NA",1.2,3
50,"dab",160,36,34,1,"NA","NA",0.5,3
51,"dab",175,52,48,1,"NA","NA",0.6,3
52,"dab",180,62,56,2,"NA","NA",1.2,3
53,"dab",165,44,40,1,"NA","NA",0.6,3
54,"dab",225,122,112,1,"NA","NA",1.6,3
55,"dab",155,34,30,1,"NA","NA",0.4,3
56,"dab",155,46,42,1,"NA","NA",0.7,3
57,"dab",165,44,70,1,"NA","NA",0.9,3
58,"dab",190,78,72,1,"NA","NA",1,3
59,"dab",140,28,24,1,"NA","NA",2.1,3
60,"dab",190,78,72,1,"NA","NA",0.9,3
61,"dab",110,14,14,1,"NA","NA",0.2,3
62,"dab",160,42,40,2,"NA","NA",0.8,3
63,"cod",750,4444,3700,2,8,440,302,1
64,"cod",710,3620,3062,2,8,54,112,1
65,"cod",360,524,424,2,4,54,22,2
66,"cod",285,216,190,1,5,10,4,2
67,"cod",450,894,708,2,4,64,48,4
68,"cod",435,834,728,2,7,18,50,4
69,"cod",380,554,476,2,4,26,26,4
70,"cod",300,220,204,0,1,0,4,4
71,"cod",345,386,380,2,4,22,18,4
72,"cod",315,318,268,1,5,16,12,4
73,"cod",270,176,162,2,2,1,4,4
74,"cod",310,314,262,2,4,16,22,4
75,"cod",350,408,350,2,4,14,22,4
76,"cod",320,308,276,2,2,3,14,4
77,"cod",250,146,132,0,1,0,4,4
78,"cod",530,1756,1364,2,4,186,68,4
79,"cod",280,214,196,2,1,1,4,4
80,"cod",320,312,264,2,3,10,12,4
81,"cod",390,556,500,2,3,4,20,4
82,"cod",160,36,30,0,1,0,2,4
83,"cod",290,236,204,2,3,10,8,4
84,"cod",380,544,470,1,4,38,18,4
85,"cod",290,242,218,2,2,2,8,4
86,"cod",390,530,442,1,4,26,24,4
87,"cod",235,110,98,0,1,0,2,4
88,"cod",365,438,402,1,1,1,12,4
89,"cod",300,274,230,1,5,20,6,4
90,"cod",350,396,362,1,1,0,18,4
91,"cod",175,44,40,0,1,0,"NA",4
92,"cod",415,680,542,1,6,86,28,4
93,"cod",250,144,132,0,1,"NA",2,4
94,"cod",175,44,40,0,1,"NA",1,4
95,"cod",385,674,522,2,4,28,40,4
96,"cod",355,380,326,1,5,18,8,4
97,"cod",275,192,174,2,2,2,4,4
98,"cod",375,458,416,2,2,4,14,4
99,"cod",215,94,86,0,1,"NA",2,4
100,"cod",405,634,532,2,4,42,28,4
101,"cod",405,670,546,2,4,26,20,4
102,"cod",410,704,570,1,4,52,22,4
103,"cod",530,1772,1382,2,4,108,144,4
104,"cod",455,1000,824,2,5,44,86,4
105,"cod",500,898,746,2,8,54,24,4
106,"cod",560,1822,1584,1,8,46,30,4
107,"cod",420,736,626,2,3,32,32,4
108,"cod",430,734,618,1,5,24,28,4
109,"cod",400,654,650,2,4,48,42,4
110,"cod",405,644,520,2,4,64,28,4
111,"cod",390,600,494,2,4,46,36,4
112,"cod",375,498,404,2,4,48,24,4
113,"cod",380,452,426,2,1,2,10,4
114,"cod",285,218,188,1,4,14,4,4
115,"cod",100,8,7,0,1,"NA","NA",4
116,"cod",470,1084,866,2,4,86,68,4
117,"cod",405,726,610,2,4,52,38,4
118,"cod",365,532,432,2,4,52,26,4
119,"cod",330,405,346,2,3,20,14,4
120,"cod",355,416,352,2,4,18,28,4
121,"cod",365,474,398,1,5,6,18,4
122,"cod",380,514,"NA","NA","NA","NA","NA",4
123,"cod",300,248,"NA","NA","NA","NA","NA",4
124,"cod",330,342,"NA","NA","NA","NA","NA",4
125,"cod",430,798,"NA","NA","NA","NA","NA",4
126,"cod",350,412,"NA","NA","NA","NA","NA",4
127,"cod",400,610,"NA","NA","NA","NA","NA",4
128,"cod",270,204,"NA","NA","NA","NA","NA",4
129,"cod",260,166,"NA","NA","NA","NA","NA",4
130,"cod",270,192,"NA","NA","NA","NA","NA",4
131,"cod",210,106,"NA","NA","NA","NA","NA",4
132,"cod",300,302,"NA","NA","NA","NA","NA",4
133,"cod",380,486,"NA","NA","NA","NA","NA",4
134,"cod",300,268,"NA","NA","NA","NA","NA",4
135,"cod",290,214,"NA","NA","NA","NA","NA",4
136,"cod",330,328,"NA","NA","NA","NA","NA",4
137,"cod",260,192,"NA","NA","NA","NA","NA",4
138,"cod",280,312,"NA","NA","NA","NA","NA",4
139,"cod",300,306,"NA","NA","NA","NA","NA",4
140,"cod",260,184,"NA","NA","NA","NA","NA",4
141,"cod",230,126,"NA","NA","NA","NA","NA",4
142,"cod",200,106,"NA","NA","NA","NA","NA",4
143,"cod",260,172,"NA","NA","NA","NA","NA",4
144,"cod",340,376,"NA","NA","NA","NA","NA",4
145,"cod",330,320,"NA","NA","NA","NA","NA",4
146,"cod",360,458,"NA","NA","NA","NA","NA",4
147,"cod",390,660,"NA","NA","NA","NA","NA",4
148,"cod",380,550,"NA","NA","NA","NA","NA",4
149,"cod",280,228,"NA","NA","NA","NA","NA",4
150,"cod",270,204,"NA","NA","NA","NA","NA",4
151,"cod",270,170,"NA","NA","NA","NA","NA",4
152,"cod",390,272,"NA","NA","NA","NA","NA",4
153,"cod",280,218,"NA","NA","NA","NA","NA",4
154,"cod",260,202,"NA","NA","NA","NA","NA",4
155,"cod",370,474,"NA","NA","NA","NA","NA",4
156,"cod",380,512,"NA","NA","NA","NA","NA",4
157,"cod",280,244,"NA","NA","NA","NA","NA",4
158,"cod",300,264,"NA","NA","NA","NA","NA",4
159,"cod",220,96,"NA","NA","NA","NA","NA",4
160,"cod",280,228,"NA","NA","NA","NA","NA",4
161,"cod",290,170,"NA","NA","NA","NA","NA",4
162,"cod",260,190,"NA","NA","NA","NA","NA",4
163,"cod",240,144,"NA","NA","NA","NA","NA",4
164,"cod",260,224,"NA","NA","NA","NA","NA",4
165,"cod",250,180,"NA","NA","NA","NA","NA",4
166,"cod",251,"NA","NA","NA","NA","NA","NA",4
